


User 0%, System 0%, IOW 0%, IRQ 0%
User 9 + Nice 0 + Sys 17 + Idle -31596 + IOW 0 + IRQ 0 + SIRQ 0 = -31570

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
  185  0   0% S     2   3792K    700K     camera   /system/bin/mm-qcamera-daemon
  188  0   0% S     1   1836K    544K     system   /system/bin/qseecomd
  189  0   0% S     5   4536K    212K     shell    /sbin/adbd
  207  0   0% S     3   3940K    468K     system   /system/bin/qseecomd
  284  0   0% S     1   1148K    480K     system   /system/bin/qcks
  735  0   0% S     1   1096K    476K     system   /system/bin/efsks
  738  0   0% S     1      0K      0K     root     ehci_wq
  739  0   0% S     1      0K      0K     root     irq/337-hsic_pe
  971  0   0% S     1    772K    324K     system   sh
  972  0   0% S     1   2144K   1532K     system   /system/bin/ks
 9699  0   0% S     1    804K    328K     shell    /system/bin/sh
 9707  1   0% S     1   2172K    900K     root     /system/bin/netd
 9713  1   0% S     1      0K      0K     root     migration/1
 9714  1   0% S     1      0K      0K     root     kworker/1:0
 9715  1   0% S     1      0K      0K     root     ksoftirqd/1
 9717  2   0% S     1      0K      0K     root     migration/2
 9718  2   0% S     1      0K      0K     root     kworker/2:0
 9719  2   0% S     1      0K      0K     root     ksoftirqd/2
 9723  1   0% S     1      0K      0K     root     kworker/1:1
 9724  2   0% S     1      0K      0K     root     kworker/2:1
   61  1   0% S     1      0K      0K     root     apr_driver
    2  0   0% S     1      0K      0K     root     kthreadd
    3  0   0% S     1      0K      0K     root     ksoftirqd/0
    5  0   0% S     1      0K      0K     root     kworker/u:0
    6  0   0% S     1      0K      0K     root     migration/0
